course_id,concept_uri
8D4C0108-CBD1-1157-23D9-84FE7D520527,http://data.europa.eu/esco/skill/8e105acc-e365-481b-bf6b-7e3f8ff19417
8D4C0108-CBD1-1157-23D9-84FE7D520527,http://data.europa.eu/esco/skill/96de2e86-e287-41f2-88ab-15a2343afc6f
8D4C0108-CBD1-1157-23D9-84FE7D520527,http://data.europa.eu/esco/skill/afd49651-9119-4327-91fc-844a6dda1254
8D4C0108-CBD1-1157-23D9-84FE7D520527,http://data.europa.eu/esco/skill/0ee94af1-b445-4973-9c3f-459fab250342
8D4C0108-CBD1-1157-23D9-84FE7D520527,http://data.europa.eu/esco/skill/8e105acc-e365-481b-bf6b-7e3f8ff19417
8D4C0108-CBD1-1157-23D9-84FE7D520527,http://data.europa.eu/esco/skill/0637466c-4f91-4faa-99f6-1594d9d72d32
76F8E5A9-3763-3F44-0711-A53E19471B22,http://data.europa.eu/esco/skill/9b862976-aa05-4bde-8ed6-8f39790edd0f
76F8E5A9-3763-3F44-0711-A53E19471B22,http://data.europa.eu/esco/skill/ce5598ec-5ca4-4f3e-92a2-c55c90ce6038
76F8E5A9-3763-3F44-0711-A53E19471B22,http://data.europa.eu/esco/skill/b8deb75f-2c54-4fc0-be51-9285088267cd
A0DD1142-F3E2-255E-71C1-881161800EF6,http://data.europa.eu/esco/skill/5ef0c719-5bcb-49f8-b8eb-824388225333