,0
0,"schwierig klient patient angehörige kollege clever kommunizieren analyse strapaziös gesprächsmuster 
 schwierig klient schwierig situation 
 schwierig gespräch souverän meistern 
 übung videofeedback durchführen     "
1,"aktuelles arbeitsrecht 2022kurzbeschreibung 
 arbeitsrecht unterliegen ständig wandel änderung gesetzgebung folgend rechtsprechung seminar erhalten notwendig 
 kenntnis vorschrift beziehen sozial einrichtung rechtssicher handeln unnötig gerichtlich auseinandersetzung vermeiden 

 beschäftigtendatenschutz eudsgvo bdsg 
 urlaubsrecht urlaubsplanung verfall anspruch abgeltung urlaub 
 qualifizierungsvereinbarunge bindungsklausel 
 befristung arbeitsverträgen sachgrund 
 inhaltliche gestaltungsmöglichkeit arbeitsverträg 
 arbeitszeitrecht bereitschaftsdienste über mehrstunden 
 arbeitsrechtlich sanktion ermahnung abmahnung kündigung 
 bedeutung eingliederungsmanagement personenbedingt kündigung krankheit 
 übersicht aktuell rechtsprechung arbeitsgericht 

 grund aktualität kurzfristig thema aufnehmen     "
2,"ambulant pflege rechtssicher handeln haftungsrisik vermeiden- grundlage straf zivilrechtlich haftung 
 freiheitsentziehend maßnahme 
 betreuerrecht & # 8211;pflichter vorsorgevollmacht 
 delegation ärztlich tätigkeit pflegekräft 
    medikamentengabe injektion 
    weisungsrecht grenze 
 risikomanagement 
    risiko erkennen vermeiden 
    umgang dokumentation 
    datenschutz schweigepflicht     "
3,"aufgabe gesetzlich betreuer reform betreuungsrechtskurzbeschreibung 
 2020 planen gesetzgeber reform betreuungsrecht 
 ziel reform langfristig verbesserung sicherung qualität rechtlich betreuung 
 seminar wichtig eckpunkt reform soweit beschließen darstellen diskutieren gleichzeitig wichtig aktuell gerichtsentscheidung thema aufgabe zuständigkeit gesetzlich betreuer eingehen 

 seminarinhalt 
 übersicht änderung betreuungsrecht 2021 
 stärkung autonomie selbstbestimmungsrecht betreut 
 regelung verbesserung qualität gesetzlich betreuung 
 neuregelung vergütung betreuer 2019 
 abgrenzung rechtlich betreuung sozial betreuung einrichtung dienst 
 aktuell rechtsprechung abgrenzungsproblematik z.b. 
   arztbesuch 
   erledigung besorgung 
   regelung höchstpersönlich angelegenheit u.a.m     "
4,"basisqualifikation ungelernt pflegekräft zertifizieren berufsbegleitend)- alten krankenpflege 
   körperpflege 
   krankenbeobachtung puls blutdruck temperatur ein ausfuhr 
   bett lagerung pflegebedürftigen 
   mobilisation aufsetzen aufstehen laufen 
   umgang bewegungshilf 
   prophylaktische maßnahme 
   umgang inkontinent kunde bewohner 
   physikalisch maßnahme 
 qualitätssicherung pflege insbesondere pflegeplanung pflegedokumentation 
 grundsatz hygiene ernährung alt mensch 
 gesprächsführung alt mensch angehörige 
 konfliktbewältigung 
 besonderheit pflege häufig auftretend erkrankung hoch alter 
   alzheimer erkrankung demenz parkinson hemiplegie 
 sterben tod ethisch sicht 
 sozialhilferecht straf haftungsrecht betreuungsrecht 
 umgang medikament 
 hilfe     "
5,"berufspädagogisch pflichtfortbildung praxisanleiter/-in 8 ue online-seminarkurzbeschreibung 
 weiterentwicklung pflegequalität beginnen zeigen 
 qualifikation praxisanleiter/-in pflege leisten stück zukunftsarbeit kompetent fachkräfte-nachwuch sorge seminar 2020 praxisanleiter/-inne verpflichtend kontinuierlich fortbildung umfang 8 & # 8211 benötigt 24 unterrichteinheite pro zuständig behörde nachweisen 

 seminar finden virtuell klassenraum teilnahme benötigen pc laptop notebook headset stabil internetverbindung weiterentwicklung pflegequalität 

 seminarinhalt 
 aktives lernen gruppe     "
6,"berufspädagogisch pflichtfortbildung praxisanleiter/-inne 24 ue kurzbeschreibung 
 weiterentwicklung pflegequalität beginnen zeigen qualifikation praxisanleiter/-in pflege leisten stück 
 zukunftsarbeit kompetent fachkräfte-nachwuch sorgen 
 seminar 2020 praxisanleiter/-inne verpflichtend kontinuierlich fortbildung umfang 24 unterrichtseinheit pro zuständig behörde nachweisen 

 seminarinhalt 
 inhalt finden zeitnah homepage www.iwk.eu anfrage iwk potsdam     "
7,"berufspädagogisch pflichtfortbildung praxisanleiter/-inne 8 ue kurzbeschreibung 
 weiterentwicklung pflegequalität beginnen zeigen 
 qualifikation praxisanleiter/-in pflege leisten stück zukunftsarbeit kompetent fachkräfte-nachwuch 
 sorgen 
 seminar 2020 praxisanleiter/-inne verpflichtend kontinuierlich fortbildung umfang 8 benötigt 24 unterrichteinheite pro zuständig behörde nachweisen weiterentwicklung pflegequalität 

 seminarinhalt 
 evaluation feedback bewerten & # 8211 leistung bewerten 
 einschätzung beurteilung aufgabe praxisanleitend lässt leistung kompetenzorientiert evaluieren messen fair formulieren gegebenenfalls minderleistung kommunizieren verletzen teilnehmenden fördern seminar 
 kommunikationsfähigkeite beurteilungsgespräch trainieren kompetenz evaluation leistung formulierung korrektiv feedback aspekt eigen fremdwahrnehmung     "
8,"beschäftigung aktivierungstherapie dementiell erkrankt alt mensch stationär altenhilfeeinrichtunge aktivierungstherapie konzept ziel zielgruppe 
 rahmenkonzept betreuung beschäftigung aktivierung demenzerkrankt alt mensch 
 erschließung intensiv förderung bruchstückhaft vorhanden wahrnehmung kommunikationspotentiale 
 praxisnahe anleitung einzel gruppenarbeit 
 ausgabe umfangreich arbeitsmaterialie direkt umsetzung        "
9,"betreuungskraft gem. § § 43b 53c sgb xi berufsbegleitend modul 1 basiskurs betreuungsarbeit pflegeheima 100 stunde 
 kommunikation 
 alterstypisch krankheit 
 pflege hygiene 
 hilfe 

 modul 2 betreuungspraktikum pflegeheim 2 woche 

 modul 3 aufbaukurs betreuungsarbeit pflegeheim 60 stunde 
 rechtskunde 
 ernährungslehre 
 gestaltung aktivität fest 

 zertifizierung 
 weiterbildung berechtigen ausübung tätigkeit betreuungskraft entsprechend richtlinie § § 43b 53c sgb xi ehem. § 87b betreuungskräfte-rl 19. august 2008. 
 
 bewerbung benötigen folgend unterlage 
 bewerbungsanschreiben 
 tabellarischer lebenslauf passbild 
 kopie schul bzw. berufsabschlusszeugniss 
 nachweis beurteilung fünftägig orientierungspraktikum     "
10,"demenz rechtssichere handeln freiheit sicherheit besonderheit pflege gerontospychiatrisch verändert mensch 
 grundrecht selbstbestimmung 
 vermeidung haftungsfäll sturzgefährdet bewohner aufsicht fürsorgepflichte 
 einnahme medikament durchführung grundpflege 
 weglauftendenz bewohner 
 risikomanagement    prävention 
 dokumentation haftungsrechtlich unerlässlich 
 tipps umgang angehörige       "
11,"dienstplangestaltung arbeitszeit sonn feiertagsdienste 
 pause 
 ruhezeit 
 arbeitsbefreiung fortbildung 
 krankheit dienstplan 
 urlaubsplanung 
 zeitzuschlag 
 schicht wechselschicht 
 überstundenerfassung ausgleich 
 arbeitsbefreiung krankheit urlaub        "
12,"einführung biografiearbeit alt menschenkurzbeschreibung 
 biografiearbeit dienen verbesserung bedürfnis bewohner zugeschnitten sozialtherapeutisch betreuung pflegekonzept zudem erfahren alt mensch wertschätzung akzeptanz interesse leben 
 
 schwerpunkt 
 biografiearbeit methode konzept zielgruppe 
 biografisch arbeit alt mensch wichtig 
 biografisch grundhaltung 
 erinnerung identitätsbildend kraft verstehen tigger 
 nutzung erinnerung lebensgeschicht angemessen beschäftigung pflegekonzept                                     
 anleitungshilfen einzel gruppenarbeit 
 ausgabe umfangreich arbeitsmaterialie direkt umsetzung       "
13,"entbürokratisierung pflege sis verstehen anwenden- dokumentationsproblem 
 zentral aussage sis 
 element modell 
 themenfeld sis 
 praktisch umsetzung     "
14,"expertenstandard neue erfahren neuerung unser arbeitsalltag bedeuten 

 seminarinhalt 
 expertenstandard entstehen 
 liste expertenstandard 

 neuerung 
 1. dekubitus 
 2. ernährungsmanagement 
 3. mobilität pflege 
 4. neu beziehungsgestaltung pflege mensch demenz 

 umsetzung praktisch arbeit     "
15,"fachkraft gerontopsychiatrisch betreuung pflege zertifizieren berufsbegleitend ziel 
 erwerb spezifisch kenntnis fähigkeit fertigkeit umgang gerontopsychiatrisch patient bewohner aspekt 
 lebensqualität interesse betreuter fördern 
 fachgerecht betreuung grundlage pflegeprozessgestaltung sichern 
 intervention beratungsprozes optimieren 
 aktuell pflege betreuungsmodelle gerontopsychiatrie anwenden 
 angehörige qualifizieren beraten 
 belastungssituation beruflich alltag finden individuell lösung meistern 

 lehrgangsinhalt 
 1. einführung 		
 2. biografiearbeit 	
 3. gesundheit krankheit alter 	
 4. pflege betreuungsmethode belastung pflege 	
 5. betreuung pflegekonzept demenziell erkrankt 	
 6. anleitung beratung kooperation qualitätssicherung 	
 7. selbst rollenverständnis 			
 8. verfügungsstunden einschließlich prüfung 

 bewerbungsunterlage 
 bewerbungsanschreiben 
 tabellarischer lebenslauf passbild 
 beglaubigt kopie berufsabschluss 
 zeugnis arbeitgeber     "
16,"gerontopsychiatrische grundlage möglichkeit personenzentriert kommunikation psychisch verändert alt mensche demenzerkrankung alter 
   demenz verstehen 
   ursache erscheinungsform alzheimer multi-infarkt-demenz mischform primär sekundär demenz definition abgrenzung 
   eindeutig kriterium vorliegen dementiell erkrankung diagnostik symptom ressource 
   verhaltensweise unterschiedlich stadie dementiell erkrankung 
   möglichkeit sozialtherapeutisch intervention erlernen grundhaltung technik personenzentriert kommunikation demenzerkrankt mensch 
 depression wahn psychisch erkrankung alter 
 vermittlung allgemein prinzip umgang psychisch verändert alt mensch 
     "
17,"haftungsrecht pflegekurzbeschreibung 
 seminar richten pflegefachkraft leitungskraft pflege betreuungseinrichtung pflegefachkraft beruflich alltag permanent verschieden rechtlich thema konfrontieren & # 8222;&#8230 stehen bein gefängnis&#8220 & # 8211 häufig hörend aussage seminar verschieden beispiel diskutieren inwieweit obig aussage zumindest relativieren lässt schadensfall & # 8211 grundsätzlich völlig ausschließen lässt & # 8211 persönlich haftung vermeiden 

 seminarinhalt 
 grundlage haftungsrecht 
 einzeln problem haftungsrecht pflegepersonal     "
18,"humor pflege pflegen online-seminarkurzbeschreibung 
 seminar beschäftigen inhaltsstoff anwendung dosierung humor handwerkszeug 
 pflegealltag 

 seminar finden virtuell klassenraum teilnahme benötigen pc laptop notebook headset stabil internetverbindung 

 seminarinhalt 
 humor lachen gesundheitsquelle entdecken 
 humorschatz bergen 
 besonderer humor pflege 
 humorintervention bewohner*in teamarbeit selbstschutz     "
19,"hygienebeauftragte/-r kita- erfahrungsaustausch 
 mikrobiologie parasitologie 
 noro rotaviren 
 infektionskrankheit mrsa 3mrgn 4mrgn pseudomonas aeruginosa soor&#8230 ;) 
 basishygiene 
     "
20,"hygienebeauftragte/-r kita online-seminarkurzbeschreibung 
 seminar finden virtuell klassenraum 
 teilnahme benötigen pc laptop notebook headset stabil internetverbindung 

 seminarinhalt 
 erfahrungsaustausch 
 mikrobiologie parasitologie 
 noro rotaviren 
 infektionskrankheit mrsa 3mrgn 4mrgn pseudomonas aeruginosa soor&#8230 ;) 
 basishygiene 
     "
21,"hygienebeauftragte/-r pflege kompakt berufsbegleitend hygienebeauftragter sicherstellung durchsetzung hygienestandard infektionsprävention pflegeeinrichtung einsetzen 


 lehrgangsinhalt 
 grundbegriff infektionslehr seuchenbekämpfung epidemiologie erregerübertragung infektionsketten 
 mikrobiologie parasitologie 
 mikrobiologische diagnostik gefährdungsanalyse 
 versand erregerhaltig material 
 infektionskrankheit mrsa 3mrgn 4mrgn pseudomonas aeruginosa soor&#8230 ;) 
 krankenhaushygiene infektionsprophylaxe 
 grundlage immunologie schutzimpfung     "
22,"multikulturell team erfolgreich arbeit online-seminarkurzbeschreibung 
 demografisch wandel personalmangel bringen leitungskräft fachkraft verstärkt ausländisch personal auseinandersetzen professionell organisationsführung zusammenarbeit gehören kenntnis kommunikationsstil hintergrundwissen besonderheit multikulturell team basis inter transkulturell kompetenz reflektieren einüben 

 seminar finden virtuell klassenraum teilnahme benötigen pc laptop notebook headset stabil internetverbindung 

 seminarinhalt 
 grundwissen diversity management 
 ressource multikulturell team 
 3-phasen-konzept gut integration ausländisch fachpersonal 
 einführung besonderheit interkulturell kommunikation     "
23,"klangtherapie peter hess arbeit demenziell erkrankt menschenkurzbeschreibung 
 klang erzeugen therapeutisch klangschale ermöglichen tief entspannung lösung verschiedenst blockade kontakt mensch demenz klang universell brücke zueinander weg kontakt begegnung 
 gemeinsam wohltuend kraft klang erleben vielfältig einsatzmöglichkeit erarbeiten theoretisch vermittlung eng jeweilig beruflich hintergrund teilnehmer/-inne anlehnen vollständig klangtherapie vermitteln teilnehmer teilnehmerin selbsterfahrung potential klang erleben erfassbar     "
24,"kommunikation sterbende angehörige zuhören rede verstehen information unterstützungsbedürfnisse sterbend angehörig 
 besonderheit sprache sterbend 
 analyse praxis auftretend kommunikationsprobleme 
 kommunikativ anforderung begleiter sterbende angehörige       "
25,"kompetenz umgang vielfalt pflege online-seminarkurzbeschreibung 
 mensch kultur bringen herkunftsland unterschiedlich medizinisch pflegerisch auffassung entsprechend vielfältig anforderung medizinisch pflegerisch versorgung fallarbeit praxisbeispiel teilnehmenden dienen analyse besprechung interkulturell missverständniss pflegerisch medizinisch alltag ermöglichen einblick verschieden lebenswelt einbezug modell transkulturell pflege & # 8222;fremdheit&#8220 differenzieren handlungsorientierung vorstellen 

 seminar finden virtuell klassenraum teilnahme benötigen pc laptop notebook headset stabil internetverbindung 

 seminarinhalt 
 1. transkulturelle kompetenzmodell 
 2. wirkung kultur denken fühlen handeln 
 3. sensibilisierung kulturell gemeinsamkeit unterschied 
 4. gesundheit krankheitsvorstellung kulturell vergleich 
 5. & # 8222;alt fremde&#8220 lebenswelt migrant altenpflege 
 6. & # 8222;fremd sterben&#8220 sterben tod mensch migrationshintergrund 
 7. handlungsstrategien beratung berufsalltag     "
26,"konflikt team praktisch lösungsmöglichkeitenin seminar erkennen persönlich erfahrung vorstellung wahrnehmung konflikt beeinflussen konfliktfelder unternehmen auseinandersetzen innerer kündigung betrieblich umstrukturierung fehlzeit nachlassend arbeitsleistung mobbing kennenlernen methode konfliktmanagement kompetenz erhöhen konflikt konstruktiv lösen 

 seminarinhalt 
 grundlage konfliktmanagement 
 konflikt verstehen vermeiden 
 konflikttyp kennen einsetzen 
 methode konfliktlösung kennenlernen erproben     "
27,"leitung station krankenhaus bzw. wohnbereich pflegeeinrichtung berufsbegleitend ziel 
 qualifiziert kenntnis fähigkeit fertigkeit leitung station gruppe einheit erwerben 
 mitarbeiter führen leiten angenehm arbeitsbedingung optimal arbeitsorganisation bereich erzielen 
 bestmöglich versorgung pflege patient bzw. heimbewohner realisieren 
 effektiv anleitung schüler praktikant hilfskräft gewährleisten 
 arbeitsbereich betriebswirtschaftlich grundsatz führen 

 inhalt 
 1. pflegewisse 	
 pflegeverständnis pflegephilosophie 
 pflegeleitbilder 
 pflegemodelle theorien 
 ganzheitlich pflege pflegeprozess 
 pflegequalität standards 
 pflegekonzept 
 hygiene krankenhaus bzw. pflegeeinrichtung 
 pflegeforschung 
 berufsbild pflege 
 berufsverband organisationen 
 fort weiterbildung 
 perspektive pflege 

 2. anthropologie ethik 	
 menschenbilder 
 menschliche grund grenzerfahrung 
 ethisch dimension handeln 
 religion weltanschauung 

 3. betriebslehre krankenhaus bzw. pflegeeinrichtung pflegemanagement 
 organisation pflegedienst 
 institution pflege 
 kooperation dienst 
 vernetzung stationär ambulant pflege 
 dienstplangestaltung 
 mitarbeiterführung 
 beurteilung mitarbeiter einschließlich auszubildender 
 delegation aufgabe 
 führungstechnik verhandlungsstrategi 
 krankenhausorganisation 
 krankenhausfinanzierung 
 krankenhausbau 
 wirtschaftlich betriebsführung pflegeeinrichtung 
 kaufmännisches rechnungswesen krankenhaus 
 pflegestuf 

 4. arbeit zivil straf sozialrecht 	

 5. psychologie gesprächsführung 

 6. pädagogik soziologie sozialmedizin 	

 7. 4-wöchige praktikum 

 sonstig bemerkung abschluss 
 prüfung bestehen teil 
 1. leistungsnachweis ausgewählt lehrgebiet 
 2. abschlussarbeit 
 3. mündliche prüfung 
 bestehen prüfung zeugnis ausstellen lehrgebiet inhaltlich schwerpunkt stundenzahle ausweisen 

 bewerbungsunterlage 
 tabellarischer lebenslauf passbild 
 abschlusszeugnisse 
 zeugnis arbeitgeber        "
28,"logopäde/-indie ausbildung erfolgen gesetz logopäde 07. mai 1980 vgl. bgbi seite 529 gliedern theoretisch praktisch aufgabe staatlich anerkannt logopädin logopäde gehören diagnose therapie störung sprache sprechen stimme schlucken logopäde arbeiten eigenverantwortlich eng zusammenarbeit behandelnd arzt 

 ziel ausbildung vermittlung kenntnis fertigkeit eigenverantwortlich diagnostisch therapeutisch beratend tätigkeit mensch altersgruppe logopädisch praxis akutklinik rehabilitationseinrichtung sonderschule sonderkindergärt behinderteneinrichtung 

 theorie 
 grundlagenfächer 
 grundlage logopädie 
 beruf gesetz staatsbügerkund 
 pädagogik sonderpädagogik 
 soziologie psychologie gesprächsführung 

 medizinisch fach 
 anatomie physiologie pathologie 
 hals nasen ohrenkunde phoniatrie audiologie pädaudiologie 
 pädiatrie kind jugendpsychiatrie 
 neurologie psychiatrie 
 kieferorthopädie kieferchirurgie 

 speziell logopädisch fach 
 störung kindersprache 
 störung redefluss 
 stimmstörung 
 sprach sprechstörung schlaganfall schädel-hirn-trauma hirntumor morbus parkinson usw. 
 störung schriftsprache lrs 
 störung kehlkopfoperation 
 schluckstörung 

 praktisch ausbildung 
 hospitation 
 praxis logopädie 
 praxis zusammenarbeit angehörige therapeutisch team 

 bewerbungsunterlage 
 bewerbungsschreiben 
 tabellarischer lebenslauf lichtbild 
 schulabschlusszeugnisse beglaubigen 
 berufsabschlusszeugnisse beglaubigen 
 phoniatrisch hno-ärztlich attest kosten übernehmen angabe folgend punkt 
   hörvermögen audiogramm 
   stimmlippenstatus stroboskopie bzw. spiegelbefund 
   allgemein hno-befund       "
29,"mitarbeitergespräch erfolgreich führensie erfahren mitarbeitergespräch wirkungsvoll führungsinstrument einsetzen 
 lernen mitarbeitergespräch systematisch vorbereiten erfolgreich durchführen 
 finden gelegenheit gespräch gesprächssituation praxisnah trainieren 

 seminarinhalt 
 vorbereitung durchführung regelmäßig stattfindend mitarbeitergespräche 
 vorbereitung durchführung mitarbeitergespräche spezifisch anlassbezogen inhalt zielvereinbarung 
 leistungsbeurteilung weiterbildung persönlich rückmeldung kritik konflikt entwicklungsmöglichkeit krankenrückkehr trennung etc. 
 vermittlung methode gesprächstechnik ausbau kommunikationskompetenz fähigkeit konstruktiv konfliktlösung     "
30,"palliative care berufsbegleitend 	 ziel 
 palliativ care behandlung betreuungskonzept mensch unheilbar progredient erkrankung fortbildung vermitteln grundkenntnis symptomkontrolle palliativ pflege hinaus schulen kommunikativ kompetenz schwerstkrank angehörige fortbildung entsprechen anforderung § 39 sgb v. 

 lehrgangsinhalt 
 1. körperliche aspekt pflege 
 krankheitsbild krebs fortgeschritten stadium 
 schmerztherapie 
 mundpflege 
 ernährung 
 übelkeit erbrechen 
 obstipation 
 respiratorisch symptom verwirrtheit 
 lymphödem 
 dekubitus ex ulcerierend tumor 
 basal stimulation 

 2. psycho-sozial aspekt pflege 
 wahrnehmung kommunikation 
 psychische reaktion 
 familie sozial hintergrund 
 sexualität 
 trauer 

 3. spirituell kulturell aspekt pflege 
 lebensbilanz 
 krankheit leid tod spirituell sicht 
 vorstellung leben tod 

 4. ethisch aspekt pflege 
 euthanasie 
 wahrheit krankenbett 
 umgang verstorbener 

 5. organisatorische aspekt pflege 
 team 
 qualitätssicherung qualitätskontrolle 

 6. allgemein aspekt 
 stressmanagement bewältigungsstrategie 
 hospizbewegung 
 rechtliche frage 

 bewerbungsunterlage 
 bewerbungsschreiben 
 tabellarischer lebenslauf passbild 
 abschlusszeugnis      "
31,"palliativpflege demenzeine belastung altenarbeit häufig begegnung sterben tod gelten besonderer weise sterbebegleitung demenzerkrankt alt mensch ausgehen sterbend demenzerkrankt mensch situation intuitiv erfassen einhergehen angst aggressiv verhalten unruhe erhöht muskeltonus zeigen häufig beobachtend phänomen geistig klarheit eigentlich demenzerkrankt mensch tod beschäftigung häufig ausgeklammert thema helfen sicherheit entlastung erfahren 

 seminarinhalt 
 gesellschaftlicher umgang sterben tod 
 psychologisch seelisch betreuungsansatz 
 medizinisch pflegerisch konzept palliativ pflege 
 situation bedürfnis demenzerkrankt sterbend mensch 
 kommunizieren demenzerkrankten 
 validierend umgangsform sterbebegleitung 
 basal stimulation gestaltungselement interpersonal kommunikation     "
32,"pflegedokumentation pflegehilfskräftewas dokumentieren 

 pflegdokumentation gehören aufagebn pflegkraft seminar notwendigkeit korrekt dokumentation darstellen hilfestellung geben sicherheit erstellung pflegedokumentation schaffen 

 seminarinhalt 
 dokumantation aufgabe 
 nachweis 
 protokoll assessment 
 pflegebericht 

 anforderung 
 regel 
 formulierung 
 fallbesprechung 
 komplexe übung      "
33,"pflegeteam erfolgreich leiten führen 4 modul & # 8211 einzeln buchbar modul 1 führungsverständnis entwickeln kurzbeschreibung 
 gelungen teamarbeit gesundheitswesen pflegebereich besonderer 
 wegzudenken wichtig erfolgsfaktor leitungskraft pädagogisch pflegerisch bereich spezialist fachgebiet nehmen hinaus leitungsaufgabe gelingen spagat führungsaufgabe teammitgliedschaft 
 fortbildungsreihe ziel kompakt übersichtlich funktion leitungskraft auseinandersetzen einstellung haltung reflektieren führungswissen erwerben rollensicherheit trainieren jeweilig modul vermitteln wirksam management knowhow sozial personal kompetenz stärkung führungspersönlichkeit 

 seminarinhalt 
 modul 1 & # 8222;führungsverständnis entwickeln&#8220 
 kernfunktion teamführung 
 rollenklärung 
 führungsstil 
 leitungsaufgabe 
 umgang 
 diversity management     "
34,"pflegeteam erfolgreich leiten führen 4 modul & # 8211 einzeln buchbar modul 1 konfliktmanagement führungskraft kurzbeschreibung 
 gelungen teamarbeit gesundheitswesen pflegebereich besonderer wegzudenken wichtig erfolgsfaktor leitungskraft pädagogisch pflegerisch bereich spezialist fachgebiet nehmen hinaus leitungsaufgabe gelingen spagat führungsaufgabe teammitgliedschaft 
 fortbildungsreihe ziel kompakt übersichtlich funktion leitungskraft auseinandersetzen einstellung haltung reflektieren führungswissen erwerben rollensicherheit trainieren jeweilig modul vermitteln wirksam management knowhow sozial personal kompetenz stärkung führungspersönlichkeit 

 seminarinhalt 
 modul 4 & # 8222;konfliktmanagement führungskräfte&#8220 
 grundlage konfliktmanagement 
 fremd konfliktmust erkennen 
 konfliktgespräche konstruktiv führen 
 umgang innerer konflikt 
 problemlösungsstrategie interventionstechnik 
 selbstcoaching humor resilienz     "
35,"pflegeteam erfolgreich leiten führen 4 modul & # 8211 einzeln buchbar modul 2 kommunikationstraining kurzbeschreibung 
 gelungen teamarbeit gesundheitswesen pflegebereich besonderer 
 wegzudenken wichtig erfolgsfaktor leitungskraft pädagogisch pflegerisch bereich spezialist fachgebiet nehmen hinaus leitungsaufgabe gelingen spagat führungsaufgabe teammitgliedschaft 
 fortbildungsreihe ziel kompakt übersichtlich funktion leitungskraft auseinandersetzen einstellung haltung reflektieren führungswissen erwerben rollensicherheit trainieren jeweilig modul vermitteln wirksam management knowhow sozial personal kompetenz stärkung führungspersönlichkeit 

 seminarinhalt 
 modul 2 & # 8222;kommunikationstraining&#8220 
 grundlage kommunikation 
 reflexion kommunikationsstil 
 moderationstechniken 
 lösungsfokussiert gesprächsführung 
 durchführung erfolgreich teambesprechung 
 interkulturell kommunikation     "
36,"pflegeteam erfolgreich leiten führen 4 modul & # 8211 einzeln buchbar modul 3 team erfolgreich leiten führen kurzbeschreibung 
 gelungen teamarbeit gesundheitswesen pflegebereich besonderer wegzudenken wichtig erfolgsfaktor leitungskraft pädagogisch pflegerisch bereich spezialist fachgebiet nehmen hinaus leitungsaufgabe gelingen spagat führungsaufgabe teammitgliedschaft 
 fortbildungsreihe ziel kompakt übersichtlich funktion leitungskraft auseinandersetzen einstellung haltung reflektieren führungswissen erwerben rollensicherheit trainieren jeweilig modul vermitteln wirksam management knowhow sozial personal kompetenz stärkung führungspersönlichkeit 

 seminarinhalt 
 modul 3 & # 8222;teams erfolgreich leiten führen&#8220 
 definition teamarbeit teamfähigkeit 
 erfolgsfaktor rolle teams 
 arbeitsfähigkeit team schnell herstellen 
 teamphasen erkennen intervenieren 
 ressource multikulturell teamarbeit 
 humorintervention teamarbeit     "
