,0
37,"pflichtfortbildung betreuungskraft gemäß § § 43b 53c sgb xi ehem. § 87b angebot 	 frage anliegen fallbesprechung berufsalltag betreuungskraft 
 schwerpunktthema umgang & # 8222;schwierig situationen&#8221 kommunikation innerhalb team inklusive therapeutisch team 
 gespräch & # 8222;entgleisen&#8221 verständigung stören & # 8211 grund versuchen ursache wirkung beleuchten weg gelungen kommunikation aufweisen 
 abschluss feedback 
     "
38,"pflichtfortbildung betreuungskraft gemäß § § 43b 53c sgb xi ehem. § 87b angebot bmodul i 	
 frage anliegen fallbesprechung berufsalltag betreuungskraft 
 schwerpunktthema    umgang angehörige 
 abschluss feedback 

 modul 2 	
 frage anliegen fallbesprechung berufsalltag betreuungskraft 
 schwerpunktthema beschäftigung kleingruppe 
 abschluss feedback 
     "
39,"praxisanleiter/-in 300 unterrichtsstunde zertifizieren berufsbegleitend ziel 
 weiterentwicklung pflegequalität beginnen zeigen quali¬fikation praxis¬anleiter/-in pflege leisten stück zukunftsarbeit kompetent fachkräfte-nachwuch sorgen 

 lehrgangsinhalt 
 ziel weiterbildung 
 qualifizierung pflegefachkraft 
 professionell anleitung beratung auszubildender 
 einarbeitung neu mitarbeiterin mitarbeiter 
 durchführung schulung 

 themenbereich weiterbildung 
 reflexion beruflich situation rolle praxisanleiter 
 analyse lernfeld praxis 
 planung lernsituation anleitungsprozess entsprechend 
 lehr lernmethodik 
 planung durchführung schulung 
 förderung bewertung kompetenz schülerin schüler 
 rechtlich grundlage 

 1. vertiefung erweiterung wissen kranke kinderkrank altenpflege 
 pflegemodelle pflegetheorie 
 ganzheitlich pflege pflegeprozess 
 pflegeplanung pflegedokumentation 
 qualitätssicherung pflege 
 anforderung praxisanleiter gesetzlich vorgabe kranke altenpflegegesetz ausbildung prüfungsverordnung pflegeberufe ergeben umsetzung praxis 

 2. psychologie jugendalter 
 grundlage psychologie   motivation wahrnehmung 
 entwicklungspsychologisch aspekt besonderer berücksichtigung jugendalter 
 beziehung jugendliche krankheit alter altern sterben 

 3. gesprächsführung interaktion 	
 gesprächsgrundlag 
 konfliktgespräch motivationsgespräch 
 stress stressbewältigung 
 angst angstbewältigung 

 4. schüleranleitung bewertung kontrolle praxisanleiter/-in 	 
 anforderung praxisanleiterpersönlichkeit 
 grundlegende methodisch-didaktisch aspekt 
 planung durchführung auswertung anleitung 
 planung gestaltung mitwirkung praktisch prüfung 
 bewertung schülerleistung 
 schülerbeurteilungen 
 vorbereitung durchführung präsentation 
 schwierigkeit vermeidbar fehler 
 erstellen folie verdeutlichung inhalt 

 5. arbeit haftungsrecht 	
 arbeitsvertrag arbeitsverhältnis 
 tarif haftung strafrecht 
 betriebsverfassungsrecht 

 bewerungsunterlag 
 tabellarisch lebenslauf passbild 
 abschlusszeugnis       "
40,"qualifizierungslehrgang technik behandlungspflege pflegehelfer/-inn 40 u.-std gemäß § § 132,132a sgbv berufsbegleitend weiterbildung befähigen pflegehilfskraft formal qualifikation genau beschrieben leistung behandlungspflege durchführen teilnehmer/-inne erlangen wissen praktisch fähigkeit durchführung 

 lehrgangsinhalt 
 grundlage hygiene 
 rechtlich aspekt ausführung ärztlich verordnung 
 physikalisch therapie inhalation 
 blutdruckmessung blutzuckermessung insulingabe 
 peg- versorgung nahrung verabreichen 
 einreibunge 
 kälte wärmeträger auflegen dermatologische bäd 
 kompressionstrümpfe/- strumpfhose an-bzw ausziehen 
 abnehmen kompressionsverband 
 theoretische grundkenntnis jeweilig behandlungspflegerisch maßnahme 
 kenntnis risiko komplikation 
 kenntnis fehlerquelle zielgerichtet folgemaßnahme 
 praktische grundkenntnis durchführung jeweilig maßnahme 
     "
41,"qualitätsmanagementbeauftragte r pflege 164 stunde berufsbegleitend ziel 
 rahmen pflege-entwicklungsgesetz einrichtung gesundheit sozialwesen verpflichten qualitätsmanagement einführen bzw. weiterentwickeln fortbildung befähigen tätigkeit qualitätsmanagement-beauftragte/-r hoch fach methodenkompetenz durchführen 

 lehrgangsinhalt 
 aufgabe perspektive qualitätsmanagementbeauftragter 
 rechtliche rahmenbedingung qualitätssicherung 
 drei-dimensionsmodell donabedian 
   strukturqualität 
   prozessqualität 
   ergebnisqualität 
 präsentation moderationstechniken 
 kommunikation 
 kundenorientierung 
   beschwerdemanagement 
 projektmanagement 
   anwendung qualitätswerkzeugen 
   nutzerbefragungen 
   statistisch methode 
 zentrale vs. dezentral qualitätssicherung 
 mono vs. multidisziplinär qualitätssicherung 
 intern maßnahme qualitätssicherung 
   erarbeitung qualitätshandbuch umgang 
   qualitätszirkelarbeit 
    internes audit 
 extern maßnahme qualitätssicherung 
   zertifizierung akkreditierung gütesiegel ktq 
 stellenbeschreibung qualitätsmanagementbeauftragter 
 verhandlungsstrategi 
 qualitätsmanagementsystem 
   tqm 
   efqm 
   din iso 9001 2008 

 bewerbungsunterlage 
 tabellarisch lebenslauf 
 passbild 
 abschlusszeugnis kopie        "
42,"refresher hygienebeauftragter + zweistündig notfallschulung erfahrungsaustausch 
 mikrobiologie parasitologie 
 noro rotaviren 
 infektionskrankheit mrsa 3mrgn 4mrgn pseudomonas aeruginosa soor&#8230 ;) 
 basishygiene 
 

 notfallschulung gemäß mdk prüfrichtlinie 
 reanimation erc-richtlinien 
 praktisches üben reanimation 
 anwendung pulsoxymetrie sauerstoffgabe notfallsituation 
 umgang notfalltasche notfallmedikamente 
 allergisch reaktion überempfindlichkeit ana     "
43,"refresher hygienebeauftragte online-seminarkurzbeschreibung 
 seminar finden virtuell klassenraum 
 teilnahme benötigen pc laptop notebook headset stabil internetverbindung 

 seminarinhalt 
 erfahrungsaustausch 
 mikrobiologie parasitologie 
 noro rotaviren 
 infektionskrankheit mrsa 3mrgn 4mrgn pseudomonas aeruginosa soor&#8230 ;) 
 basishygiene 
     "
44,"religiös empfindend mensch lebensende begleitendie altenpflege deutschland praktizieren leitbild ganzheitlich menschenbild 
 problematisch direkt pflegerisch grenzbereich religiosität tod umgehen 
 tätig pflegekraft pflegerisch anvertraut person unterscheiden gemeinsam erleben grenzsituation generationsunterschied beruflich individuell handlungsvermöge verschieden ausgeprägt verständnis glaubenskraft sozialverhalten wert kulturverständnis 

 seminarinhalt 
 glaubensfrag leben religiosität leben bzw. weltanschauung 
 leben tod tod leben   interaktionskräfte pflegekräft mensch scheideweg 
 5 weltreligion übersicht   selbstverständnis botschaft 
 sterberitual 5 weltreligion 
     "
45,"schluckstörung alterkurzbeschreibung 
 demografisch entwicklung prognostizieren zunehmend überalterung bevölkerung behandlung altersbedingt schluckstörung vordergrund rücken seminar befassen möglich schluckstörung alter unterschied altersbedingt schluckstörung dementiell verursacht schluckstörung darlegen 

 seminarinhalt 
 anatomie physiologie normal schlucken 
 pathophysiologie schluckakt 
 ursache hinweis diagnostik schluckstörung 
 symptom ursache auswirkung altersbedingt schluckstörung 
 demenz definition art verlauf 
 problem nahrungsverweigerung 
 spezifisch therapie theorie praxis     "
46,"sprach sprechstörung besonderer herausforderung pflege abgrenzung sprach sprechstörung 
 definition merkmal aphasien dysarthrie sprechapraxien hand praxisbeispiel video 
 vorstellung erprobung möglich hilfe strategie umgang sprachbetroffen patient 
 einflussnehmend begleiterscheinunge     "
47,"stressmanagement humor resilienz online-seminarkurzbeschreibung 
 wohlbefinden herausforderung unterwerfen workshop begeben reise schatz stärke potential entdecken widerstandsfähig flexibel positiv leben ausgewählt resilienz steigernd faktor technik methode vorstellen eingeüben resilient lebensführung entscheidend 
 ausgeglichenheit zufriedenheit gesundheit führen 

 seminar finden virtuell klassenraum teilnahme benötigen pc laptop notebook headset stabil internetverbindung 

 seminarinhalt 
 grundwissen resilienz stressmanagement 
 element selbstfürsorge 
 beziehung positiv gestalten 
 negativ gedankenmuster umwandeln 
 positiver perspektivenwechsel zukunft     "
48,"tiergestützt therapie altenpflege mensch demenzwas bewirken tier mensch demenz tier co-therapeuten hunden katze türöffner kommunizieren 

 seminarinhalt 
 demenz kurz einführung 
 therapeutisch ansatz möglichkeit 
 tiergestützt therapie 
 praktisch umsetzung 
 beobachtung reaktion mitarbeiter demenzerkrankten 
 diskussion 
     "
49,"tom kitwood personenzentriert ansatz umgang demenz erkrankt alt menschenziel 
 tom kitwood entwickelt personenzentrier ansatz dementiell erkrankung tragödie betroffener gelingen umgebung schaffen ermöglichen weiterhin person erfahren fähigkeit pflegend beziehungsgestaltung zentral rolle 
 
 schwerpunkt 
 demenz psychiatrisch kategorie                                     
 erleben demenzerkrankt mensch umgebend welt grundlegend bedürfnis worunter leiden 
 bedeuten person 
 17 malign bösartig umgangsform personsein demenzerkrankt mensch verhindern 
 baustein pflegekultur 
   wohlbefinden personenzentriert beziehungsgestaltung 
   12 unterschiedlich form positiv interaktiv personenarbeit       "
50,"trommel sterbebegleitungkurzbeschreibung 
 rhythmus tragen mensch lebenslage aufbauend lässt banal technik innerhalb kürzester brücke bauen tragfähig begegnung ermöglichen gesprochen wort gesehen bild rudimentär verfügung stehen 
 wandeln einsamkeit begegnung angst zuversicht trostlosigkeit freude 

 erarbeiten gemeinsam unser hand einfach instrument situation einsetzbar weg rhythmus takt miteinander 
 kontakt treten     "
51,"umgang aggression angst depression gerontopsychiatrie gerontopsychiatrisch krankheitsbild                                    
 symptom ressource                                    
 verhaltensweise demenzerkrankt mensch                                    
 verhaltensweise pflegende haltung technik                                    
 auslöser angsterlebe dementiell erkrankter                                    
 ursache aggression aggressiv verhalten                                    
 form depression                                    
 suizid-signale selbsttötungsabsicht       "
52,"umgang angehörige mensch demenzkurzbeschreibung 
 mensch demenz erkranken betreffen angehörige verlauf krankheit pflegend angehörige wechselbad 
 gefühl schmerz mitleid gehören hilflosigkeit ärger wut trauer verzweiflung unterstützend beratung aufklärung 
 professionell pflegende betreuender behilflich 

 seminarinhalt 
 bedeutung angehörige demenz erkrankt mensch 
 anforderung beratung angehörige 
 empfehlung klientenzentriert kommunikation angehörige 
 umgang kritik angehörige 
 übung videofeedback     "
53,"validation kommunikation demenzerkrankt menschenvalidation versuchen demenzerkrankt alt mensch stufe normalität stellen orientieren persönlich wirklichkeit 

 seminarinhalt 
 erleben wahrnehmung wunsch bedürfnis demenzerkrankt mensch 
 validation konzept prinzip ziel 
 stadie desorientiertheit einteilung naomi feil 
 validationstechnik stadie i iv 
 praktisch anwendung gezielt einübung validationtechnik anhand übung beispiel pflegealltag      "
54,"verantwortlich pflegefachkraft ambulant stationär pflege zertifizieren berufsbegleitend ziel 
 weiterbildung teilnehmer/-inne befähig 
 mitarbeiter führen leiten optimal arbeitsorganisation bereich erzielen 
 bestmöglich versorgung pflege bewohner realisieren 
 arbeitsbereich betriebswirtschaftlich grundsatz führen 

 lehrgangsinhalt 
 1. pflegewisse 
 pflegeverständnis pflegephilosophie 
 pflegeleitbilder 
 pflegemodelle theorien 
 ganzheitlich pflege pflegeprozess 
 pflegequalität standards 
 pflegekonzept 
 hygienische anforderung 
 perspektive pflege 

 2. personalmanagement 
 zweck aufgabenstellung pflegeeinrichtung 
 unternehmensleitbild 
 rechtsform trägerstruktur 
 aufbauorganisation 
 arbeitsablaufgestaltung 
 personalbemessungsverfahr 
 personalorganisation 
 stellenbeschreibung 
 arbeitszeit dienstplangestaltung 
 personaleinsatzplanung 
 qualitätssicherungsmanagement 
   extern form 
   intern form 
   organisationsinstrument 
   projektmanagement qualitätszirkel 
 zertifizierungssystem instrumente 
 marketing öffentlichkeitsarbeit 

 3. betriebswirtschaftliche grundlage 
 finanzierung sgb v sgb xi 
 budgetierung 
 controlling 
 betriebliches rechnungswesen 
 abrechnungsverfahren 

 4. arbeit zivil strafrecht 	

 5. kommunikation interaktion 	

 6. soziologie sozialmedizin 	
     "
55,"autocad grundkurseinleitung vorstellung autocad 
 grundregel programmbedienung 
 zeichnung anlegen laden speichern 
 anzeigesteuerung 
 hilfe exakt zeichnen 
 grundlegend zeichenbefehle 
 änderungsbefehle 
 hilfe objektwahl 
 trimmfunktionen 
 text eingeben ändern 
 schraffieren fläche füllen 
 layertechnik objekteigenschaft 
 blöcke 
 maßstabsgerechte zeichnungsausgabe 
 hilfsfunktion 
 normgerechte bemaßung 
 prototypzeichnung     "
56,"basiskurs pflege grundlage anatomie 
 grundlage physiologie 
 gerontologie 
 grundkrankenpfleg praktisch unterweisung 
 hygiene 
 ernährungslehre 
 rechtsgrundlag 
 pflegeplanung dokumentation 
 erste-hilfe-kurs 
     "
57,"berufsstart migrant migrantinnenbei lernen teilnehmer effektiv parallel deutsch nötig fachwissen einstieg arbeitsmarkt schaffen lernen angenehm lernatmosphäre praxiserfahren dozentin dozent nutzen optimal erhöhen chance kurz berufseinstieg gelingen betrieblich praktikum ebenfalls bestandteil bildungsangebot 

 festigung erweiterung sprachkenntnisse 
 vertiefung kommunikationsstrategie 
 arbeitsrecht sozialversicherungssystem 
 berufliche orientierung coaching 
 berufliche orientierung qualifizierung 
 bewerbungstraining 
     "
58,"betreuungskraft § § 43b 53c sgb xi- erste-hilfe-kurs 
 hygieneanforderung 
 rechtsgrundlag 
 ernährungslehre 
 grundkenntnis pflege 
 grundkenntnis demenz psychisch erkrankung geistig behinderung typisch alterskrankheit 
 kommunikation interaktion mensch demenz psychisch erkrankung geistig behinderung 
 beschäftigungsmöglichkeit freizeitgestaltung bewegung mensch demenz 
 kommunikation zusammenarbeit pflege beteiligter 
 dokumentation + planung 
     "
59,"blickpunkt pflege auffrischung vertiefung fachkompetenze umgang bewohner patient betreuungskräft 
 inhalt handlungsweisa § 87b absatz 3 sgb xi qualifikation aufgabe zusätzlich betreuungskräft pflegeheima 
 demenz aufzeigen demenzart verantwortungsvoll umgang patient bewohner 
 geronto-psychisch krankheit psychisch beeinträchtigung alter depression 
 alzheimer erkrankung morbus parkinson 
 pflegeplanung dokumentation 
     "
60,"cad fachkraft rahmen modulsystem fertigungstechnikberufsfachlich inhalt 

 grundlage technisch kommunikation 
 begriff kommunikationsmittel 
 technische zeichnung kommunikationsmittel begriff einteilung 
 darstellungsart ansicht schnitt 
 bemaßungsregeln maßstab gewindedarstellung genormt einzelheit 
 normvorschrift erstellen technisch zeichnung 

 arbeit autodesk-inventor 2019 grundlage 2d-darstellung 
 grundregel programmbedienung anzeigesteuerung 
 grundlegende zeichenbefehle hilfe exakt zeichnen 
 zeichen- änderungsbefehle hilf trimmfunktionen 
 layertechnik objekteigenschaft 
 eingabe text 
 blöcke 
 maßstabsgerechte zeichnungsausgabe 
 normgerechte bemaßung 
 darstellung form lagetoleranze oberflächenzeichen passung schweißsymbol 

 einführung 3d-konstruktion autodesk-inventor 2019 
 zeichn erstellen bearbeit ändern 3d-zeichnung 
 modellier bearbeit volumenkörper schnitt flächenbearbeitung koordinate ansicht visualisier 
 importierum exportieren werkzeugpalett 
 umwandeln 3d-zeichnung 2d-fertigungszeichnung 
 ausgabe 3d-konstruktionszeichnung 

 zeichnen konstruieren maschinenbau 
 erstellen fachgerecht zeichnungssätze autodesk-inventor 2019 zusammenbauzeichnung stücklist fertigungszeichnunge montagezeichnungen 
 konstruktion mechanisch baugrupp verwendung normteil schraube stift passfeder lager etc. 
     "
61,"englisch anfängerziel 
 teilnehmer wunsch grundbegriff sprache erlernen englisch ausdrücken einfach gespräch führen 

 inhalt 
 befassen folgend thema 
 begrüßung vorstellung 
 familie freund hobby 
 tagesablauf 
 mahlzeit restaurant 
 urlaub reise       "
62,"hausmeister in hauswart in haustechniker in- kaufmännisches gebäudemanagement 
 kommunikationstrainig costumer service 
 ordnung sicherheit brandschutz 
 reinigung umweltgerecht entsorgung recycling 
 technisches gebäudemanagement arbeitsschutz arbeitssicherheit lager materialbewirtschaftung einführung elektrotechnik holzarbeit malerarbeit trockenbau flies fugenbearbeitung gebäudedämmung schimmelbekämpfung gas wasser sanitär installationsarbeit reparatur heiztechnik garten landschaftsbau veranstaltungstechnik medienkompetenz 
 bewerbungstraining 
     "
63,"mechatronisch system rahmen modulsystem fertigungstechnik elektrosicherheit 
 bauelement elektrotechnik elektronik 
 pneumatik elektropneumatik 
 grundlage hydraulik 
 sensorik 
 aktorik 
 regelungstechnik 
 digital steuerungstechnik sps industriell kleinsteuerung 
 messtechnik schwerpunk oszillographenmesstechnik 
 instandhaltung automatisiert produktionsanlage 
 technisches englisch leseverstehen      "
64,"motorsägekurs brennholzselbsterwerberdie sogenannter brennholzselbsterwerber gefährlich arbeit unterliegen weder unfallversicherungspflicht arbeitsschutzgesetz kreis beteiligt institution landesforsten kommunal privat forstbetrieb einig aufklärung standard helfen unfall vermeiden selber fällen entsprechend kurs belegen theoretisch praktisch anteil enthalten 
 kurs erhalten teilnehmer zertifikat erfolgreich motorsäge freischneiderlehrgang aufarbeitung brennholz teilnehmen     "
65,"praxisnahe beruflich weiterbildung sozial dienst hauskrank altenpflege erwerb führerschein klasse bfachkundliche grundlagenaus weiterbildung 568 ust 
 hauswirtschaftlich versorgung 64 ust 
 beruf rechtskunde 64 ust 
 leben glaubenskunde hospiztätigkeit 80 ust 
 grundlage berufsbezogen betriebswirtschaft 40 ust 
 edv-ausbildung 80 ust 
 psychologie gesprächsführung kommunikationstraining 32 ust 
 bewerbungstraining persönlichkeitsmarketing 56 ust 
 projektauswertung 8 ust     "
66,"praxisnahe beruflich weiterbildung sozial dienst hauskrank altenpflege erwerb führerschein klasse blehrgangsziel 
 bildungsmaßnahme dienen beruflich fortbildung anpassung vorhanden kenntnis erfahrung aktuell erfordernis arbeitsmarkt 

 inhalt 
 fachkundliche grundlagenaus weiterbildung 576 stunde 
 speziell betreuung umgang mensch demenz psychisch geistig behinderung 80 stunde 
 hauswirtschaftliche versorgung 64 stunde 
 beruf rechtskunde 44 stunde 
 leben glaubenskunde hospiztätigkeit 64 stunde 
 grundlage berufsbezogen betriebswirtschaft 48 stunde 
 branchenspezifische informatik erwerb führerschein klasse 240 stunde 
 edv- ausbildung 52 stunde 
 psychologie gesprächsführung kommunikationstraining 28 stunde 
 bewerbungstraining persönlichkeitsmarketing 36 stunde 
 projektauswertung 8 stunde 
 betriebliches praktikum 368 stunde      "
67,"sps fachkraft rahmen modulsystem fertigungstechnikeinführung steuerung digitaltechnik 
 wirkungsweise funktion schaltung steuerung signal meldetechnik 
 erläuterung unterschied analog digital signal 
 erläuterung logik-grundschaltung 
 analysierung aufbau einfach verknüpfungsschaltung 
 erläuterung wirkungsprinzip flipflops 
 erläuterung funktionsweise speichertechnik zähler zeitelement 
 erläuterung funktionsprinzip realisierung ad da-umsetzer 

 vorschrift bestimmung schutzmaßnahm 
 erläuterung aufbau wirkungsweise leitung geräteschutzeinrichtung 
 darlegung kriterium betriebssicher aufbau gerät 

 einführung sps 
 grundbegriff bestandteil sps 
 hardwarestruktur sps 
 vorstellung bestimmt struktur sps 
 vorstellung programmiersoftware 
 bedienoberfläche beispiel 
 ablauf programmieren projektstart programmstart fehlersuche 

 sps-projektierung anwendung 
 parallelschaltung signalgebern oder-verknüpfung programmierung training 
 reihenschaltung signalgeber und-verknüpfung programmierung training 
 speichertechnik 
 zähler zeitfunktion 
 anwendereigene funktionsbausteine 
 arithmetisch operation sprungfunktion 
 kommentar schreiben drucken programm 
 analogwertverarbeitung 
 symbolisch bezeichnung 
 komplex projektierung anwendung sps-anwendungsbeispiel betrieb 
 erläuterung demonstration steuerung 

 industrielle bussystem 
 industrial ethernet 
 industrial wireless lan 
 profibus 
 profinet 
 opc 
 as-interface 

 projektarbeit        "
68,"umschulung jung eltern zum/-r kaufmann kauffrau büromanagement ihk beruflich fachtheoretisch inhalt entsprechend lernfeldbezogen rahmenlehrplane 
 rechnungswesen 
 speziell wirtschaftslehre 
 informationsverarbeitung 
 kommunikation verkauf 
 qualitätsmanagement 
 wirtschaftsenglisch 

 allgemeinbildende übergreifend inhalt 
 allgemein wirtschaftslehre 
 kommunikation teambildung 
 lern arbeitsmethode zeitmanagement 
 selbstorganisiert lernen medienbildung 
 präsentation bewerbungstraining 
 kaufmännisch schriftverkehr 
 repetitorium 
 praktikum 

 inklusive wahlqualifikation 
 auftragssteuerung korrdination 
 assistenz sekretariat 
     "
69,"umschulung holzmechaniker inihr kursinhalt 
 schwerpunkt ausbildung lernfeld 1  12 
 einfach produkt holz herstellen 
 zusammengesetzte produkt holz holzwerkstoffen herstellen 
 produkt unterschiedlich werkstoff herstellen 
 einzelmöbel herstellen 
 systemmöbel herstellen 
 einbaumöbel herstellen montieren 
 raumbegrenzende element innenausbau 
 holz holzwerkstoff beschichten 
 bauelement innenausbau auftragsgerecht herstellen 
 fenster außentüre herstellen 
 packmittel herstellen 
 wirtschaft sozialkunde 

 fachpraktisch ausbildung entsprechend ausbildungsrahmenplan 
 umgang information kommunikationssystemen 
 plane vorbereiten arbeitsabläufen arbeit team 
 einrichten sichern arbeitsplatz 
 einrichten bedienen instandhalt werkzeug gerät maschine technisch einrichtung 
 durchführen messung herstellen anwenden schablon lehre 
 be verarbeiten holz holzwerk sonstig werkstoff 
 überwachen steuer produktionsprozess 
 herstellen vormontieren zusammenbauen teil 
 behandeln oberfläche 
 herstellen oberfläche 
 verpacken lager produkt 
 herstellen möbel innenausbaut 
 ausführen holzschutzarbeite 
 prüfen produkt 
 qualitätsmanagement kundenorientierung     "
70,"update büro rationelle arbeit ms office 2016 2019-grundlagen windows online-dienst datenschutz 
 grundlag ms word 2016 2019 
 kaufmännischer schriftverkehr din 5008 ms word 2016 2019 
 ms excel 2016 2019 
 ms power point 2016 2019 
 ms access 2016 2019 
 outlook 2016 2019 
 bewerbungstraining 
     "
71,"  image arbeitgeber womit gewinnen richtig mitarbeiter seminar vorteil personalmarketing individuell arbeitgebermarke mitarbeitergewinnung zunutze erfahren unternehmen vorteilhaft licht rücken falsch mitarbeiter anziehen 
 10 suche mitarbeiter stark verändern markt arbeitskraft fast leergefegt anspruch potenziell arbeitnehmer stark verändern reichen sicher arbeitsplatz pünktlich lohnzahlung bieten gesellschaft streben anerkennung selbstverwirklichung industrialisierung technisch fortschritt digitalisierung erlauben sinn existenz suchen selbstverwirklichung bedeuten mensch suche voll erfüllen finden mensch setzen leben frage arbeitgeber stellen lauten machen entwicklung zunutze 

 unternehmen stark arbeitgebermarke anzeige schalten erhalten genügend passend empfehlung initiativbewerbung seminar erhalten handwerkzeug arbeitgebermarke entwickeln 

 wichtig faktor attraktivität arbeitsplatz 
 image positiv beeinflussen 
 strategie helfen mitarbeitergewinnung 
 kandidat arbeit begeistern 
 mitarbeiter botschafter unternehmen 
 stark arbeitgebermarke     "
72,"  image arbeitgeber womit gewinnen richtig mitarbeiter seminar vorteil personalmarketing individuell arbeitgebermarke mitarbeitergewinnung zunutze erfahren unternehmen vorteilhaft licht rücken falsch mitarbeiter anziehen 
 10 suche mitarbeiter stark verändern markt arbeitskraft fast leergefegt anspruch potenziell arbeitnehmer stark verändern reichen sicher arbeitsplatz pünktlich lohnzahlung bieten gesellschaft streben anerkennung selbstverwirklichung industrialisierung technisch fortschritt digitalisierung erlauben sinn existenz suchen selbstverwirklichung bedeuten mensch suche voll erfüllen finden mensch setzen leben frage arbeitgeber stellen lauten machen entwicklung zunutze 

 unternehmen stark arbeitgebermarke anzeige schalten erhalten genügend passend empfehlung initiativbewerbung seminar erhalten handwerkzeug arbeitgebermarke entwickeln 

 wichtig faktor attraktivität arbeitsplatz 
 image positiv beeinflussen 
 strategie helfen mitarbeitergewinnung 
 kandidat arbeit begeistern 
 mitarbeiter botschafter unternehmen 
 stark arbeitgebermarke     "
